id,name,localized_city,localized_neighborhood,city,public_address,lat,lng,preview_amenities,reviews_count,person_capacity,bathrooms,bedrooms,beds,guest_label,property_type_id,room_and_property_type,room_type,tier_id,kicker_content_messages,picture_count,star_rationg,user_first_name,user_has_profile_pic,user_is_superhost,cancel_policy,room_type_category,can_instant_book,night_cost,night_cost_with_fees,monthly_price_factor,rate_type,fees,link
32445769,"Clenaghan's -  Self-catering Stone Cottage, Sleeps 2 or 3",Craigavon,0,Craigavon,"Craigavon, Armagh, United Kingdom",54.50591,-6.24484,"Hosted by a business,Free parking,Wifi",95,3,1.0,1,1,3 guests,60,Entire cottage,Entire home/apt,0,Entire cottage,21,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,95.0,95.0,0.7,nightly,0.0,https://www.airbnb.co.uk/rooms/32445769?&check_in=2022-02-15&check_out=2022-02-16
3152257,"The Loft, Castle Espie House, Comber",Comber,0,Comber,"Comber, Co. Down, Northern Ireland, United Kingdom",54.53011,-5.70197,"Free parking,Wifi,Kitchen,Washer",82,2,1.0,1,1,2 guests,35,Entire loft,Entire home/apt,0,Entire loft,12,5.0, ,True,True,CANCEL_FLEXIBLE,entire_home,False,95.0,95.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/3152257?&check_in=2022-02-15&check_out=2022-02-16
44528991,Superb bungalow in the market town of Newtownards,Ards and North Down,0,Ards and North Down,"Ards and North Down, Northern Ireland, United Kingdom",54.59689,-5.68722,"Free parking,Wifi,Kitchen,Washer",7,4,1.0,2,2,4 guests,38,Entire bungalow,Entire home/apt,0,Entire bungalow,10,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,96.0,96.0,0.77,nightly,0.0,https://www.airbnb.co.uk/rooms/44528991?&check_in=2022-02-15&check_out=2022-02-16
19572808,Burleigh House Self Catering Apartment,Carrickfergus,0,Carrickfergus,"Carrickfergus, Northern Ireland, United Kingdom",54.73974,-5.83048,"Hosted by a business,Free parking,Wifi,Kitchen",7,4,1.0,2,3,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,22,5.0, ,True,False,CANCEL_MODERATE,entire_home,True,95.0,95.0,0.75,nightly,0.0,https://www.airbnb.co.uk/rooms/19572808?&check_in=2022-02-15&check_out=2022-02-16
51341023,Hepburn House - charming Victorian getaway,Greyabbey,0,Greyabbey,"Greyabbey, Northern Ireland, United Kingdom",54.53448,-5.56181,"Wifi,Kitchen,Washer",9,2,1.0,1,1,2 guests,36,Entire townhouse,Entire home/apt,0,Entire townhouse,21,5.0, ,True,True,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,95.0,95.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/51341023?&check_in=2022-02-15&check_out=2022-02-16
21778909,2 BEDROOM APARTMENT GLENAVY CRUMLIN,Glenavy,0,Glenavy,"Glenavy, Northern Ireland, United Kingdom",54.59308,-6.21347,"Free parking,Wifi,Kitchen,Washer",22,4,2.0,2,3,4 guests,37,Entire condominium (condo),Entire home/apt,0,Entire condominium (condo),26,5.0, ,True,True,CANCEL_FLEXIBLE,entire_home,False,96.0,96.0,0.95,nightly,0.0,https://www.airbnb.co.uk/rooms/21778909?&check_in=2022-02-15&check_out=2022-02-16
22478128,"Spacious 3 Bedroom Apartment in Hillsborough, NI",Lisburn,0,Lisburn,"Lisburn, Northern Ireland, United Kingdom",54.4628,-6.08147,"Free parking,Wifi,Kitchen,Washer",49,6,2.0,3,3,6 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,21,5.0, ,True,True,CANCEL_MODERATE,entire_home,False,95.0,95.0,0.8,nightly,0.0,https://www.airbnb.co.uk/rooms/22478128?&check_in=2022-02-15&check_out=2022-02-16
27949629,Unit-with 2 rooms-Classic-Private Bathroom-Sea View,Donaghadee,0,Donaghadee,"Donaghadee, County Down, United Kingdom",54.64285,-5.53449,"Free parking,Wifi",1,6,1.0,1,4,6 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,16,0.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,True,95.0,95.0,1.0,nightly,0.0,https://www.airbnb.co.uk/rooms/27949629?&check_in=2022-02-15&check_out=2022-02-16
27504797,The Bothy at Mill Farm,Lisburn,0,Lisburn,"Lisburn, Northern Ireland, United Kingdom",54.44948,-6.10023,"Free parking,Wifi,Kitchen,Washer",1,2,1.0,1,1,2 guests,60,Entire cottage,Entire home/apt,0,Entire cottage,7,0.0, ,True,False,CANCEL_FLEXIBLE,entire_home,False,95.0,95.0,0.5700000000000001,nightly,0.0,https://www.airbnb.co.uk/rooms/27504797?&check_in=2022-02-15&check_out=2022-02-16
20834587,Luxury Belfast City centre apartment,Belfast,0,Belfast,"Belfast, Northern Ireland, United Kingdom",54.60285,-5.93364,"Wifi,Kitchen",27,4,1.0,2,2,4 guests,1,Entire rental unit,Entire home/apt,0,Entire rental unit,13,5.0, ,True,False,CANCEL_STRICT_14_WITH_GRACE_PERIOD,entire_home,False,96.0,96.0,0.5900000000000001,nightly,0.0,https://www.airbnb.co.uk/rooms/20834587?&check_in=2022-02-15&check_out=2022-02-16
